2023-07-02_21:42:13: {'batch_size': 512, 'beta': 0.1, 'dampening': 0.0, 'learning_rate': 0.1, 'momentum': 0.0, 'weight_decay': 0.0} {'loss': 0.7082921955734491, 'accuracy': 0.9652670787234731, 'recall': 0.07804270382395381, 'precision': 0.02031394519701062, 'f1': 0.02191828115887984}
2023-07-03_07:59:48: {'batch_size': 512, 'beta': 0.995, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.06, 'weight_decay': 0.0} {'loss': 0.21355899504851553, 'accuracy': 0.9653995111121894, 'recall': 0.13014069264069264, 'precision': 0.05108242657338138, 'f1': 0.05253533697317646}
2023-07-03_08:01:08: {'batch_size': 512, 'beta': 0.995, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.04, 'weight_decay': 0.0} {'loss': 0.2134575700620189, 'accuracy': 0.9779676986283644, 'recall': 0.09462838955026455, 'precision': 0.06072170406977487, 'f1': 0.05741064314147153}
2023-07-03_08:02:27: {'batch_size': 512, 'beta': 0.995, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.05, 'weight_decay': 0.0} {'loss': 0.21346256878071773, 'accuracy': 0.9632992951766305, 'recall': 0.13285796957671958, 'precision': 0.0499379415129398, 'f1': 0.05524834845816508}
2023-07-03_08:03:46: {'batch_size': 512, 'beta': 0.995, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.06, 'weight_decay': 0.0} {'loss': 0.21349286388916272, 'accuracy': 0.9314655438219785, 'recall': 0.2078683035714286, 'precision': 0.041495159405370366, 'f1': 0.05041306711707326}
2023-07-03_08:05:04: {'batch_size': 512, 'beta': 0.999, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.04, 'weight_decay': 0.0} {'loss': 0.07138258053843553, 'accuracy': 0.7194443222898874, 'recall': 0.55908771494709, 'precision': 0.0273639880895809, 'f1': 0.04278213573503338}
2023-07-03_08:06:23: {'batch_size': 512, 'beta': 0.999, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.05, 'weight_decay': 0.0} {'loss': 0.0712082211393863, 'accuracy': 0.7062505560138457, 'recall': 0.5480964781746032, 'precision': 0.029484011306946424, 'f1': 0.043044016380461764}
2023-07-03_08:07:42: {'batch_size': 512, 'beta': 0.999, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.06, 'weight_decay': 0.0} {'loss': 0.07136720509151928, 'accuracy': 0.7214104630685494, 'recall': 0.5650618912337663, 'precision': 0.027843256083751763, 'f1': 0.04499466025640146}
2023-07-03_08:09:01: {'batch_size': 512, 'beta': 0.999, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.04, 'weight_decay': 0.0} {'loss': 0.07117833589048436, 'accuracy': 0.7110112982013458, 'recall': 0.5455811838624339, 'precision': 0.02928515122617335, 'f1': 0.040256497788613434}
2023-07-03_08:10:20: {'batch_size': 512, 'beta': 0.999, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.05, 'weight_decay': 0.0} {'loss': 0.07134167964492613, 'accuracy': 0.7024620798557195, 'recall': 0.5971265857984608, 'precision': 0.029462612964523544, 'f1': 0.04046834542797641}
2023-07-03_08:11:39: {'batch_size': 512, 'beta': 0.999, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.06, 'weight_decay': 0.0} {'loss': 0.07131180160407287, 'accuracy': 0.7202044184903921, 'recall': 0.5561487268518519, 'precision': 0.02635880129923381, 'f1': 0.04110711586644489}
2023-07-03_08:12:58: {'batch_size': 512, 'beta': 0.9995, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.04, 'weight_decay': 0.0} {'loss': 0.04950182752024072, 'accuracy': 0.6387042880798719, 'recall': 0.63231853505291, 'precision': 0.020302195223312704, 'f1': 0.038188319338376214}
2023-07-03_08:14:17: {'batch_size': 512, 'beta': 0.9995, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.05, 'weight_decay': 0.0} {'loss': 0.049620613785615816, 'accuracy': 0.6265562069342003, 'recall': 0.6592241236772487, 'precision': 0.0208463661441681, 'f1': 0.039218209842489304}
2023-07-03_08:15:35: {'batch_size': 512, 'beta': 0.9995, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.06, 'weight_decay': 0.0} {'loss': 0.04953413530408094, 'accuracy': 0.6162424660123901, 'recall': 0.6724702380952381, 'precision': 0.020264090584711354, 'f1': 0.03764696328922214}
2023-07-03_08:16:55: {'batch_size': 512, 'beta': 0.9995, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.04, 'weight_decay': 0.0} {'loss': 0.04971783847819704, 'accuracy': 0.630930393132117, 'recall': 0.6650731646825396, 'precision': 0.021503589972879888, 'f1': 0.04021546819517746}
2023-07-03_08:18:14: {'batch_size': 512, 'beta': 0.9995, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.05, 'weight_decay': 0.0} {'loss': 0.04977920031524263, 'accuracy': 0.627631019608081, 'recall': 0.6678819444444445, 'precision': 0.021189247677557792, 'f1': 0.03956060815108117}
2023-07-03_08:19:34: {'batch_size': 512, 'beta': 0.9995, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.06, 'weight_decay': 0.0} {'loss': 0.04953702356821547, 'accuracy': 0.6263590115691318, 'recall': 0.6727791305916306, 'precision': 0.02123747089260162, 'f1': 0.039274816186691715}
2023-07-03_08:20:53: {'batch_size': 512, 'beta': 0.9999, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.04, 'weight_decay': 0.0} {'loss': 0.03423190241058667, 'accuracy': 0.5204549911846532, 'recall': 0.7737516534391534, 'precision': 0.016487132627869543, 'f1': 0.03196520704854646}
2023-07-03_08:22:12: {'batch_size': 512, 'beta': 0.9999, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.05, 'weight_decay': 0.0} {'loss': 0.034141617579734884, 'accuracy': 0.5242248914256599, 'recall': 0.765194917929293, 'precision': 0.015987290181408768, 'f1': 0.031079349752755878}
2023-07-03_08:23:31: {'batch_size': 512, 'beta': 0.9999, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.06, 'weight_decay': 0.0} {'loss': 0.034049774408534475, 'accuracy': 0.5199866127029956, 'recall': 0.7749834656084655, 'precision': 0.015551109249128416, 'f1': 0.03030495339413558}
2023-07-03_08:24:51: {'batch_size': 512, 'beta': 0.9999, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.04, 'weight_decay': 0.0} {'loss': 0.034203782658247896, 'accuracy': 0.515118206016272, 'recall': 0.7760140467171717, 'precision': 0.015616489258724017, 'f1': 0.030428289003615425}
2023-07-03_08:26:10: {'batch_size': 512, 'beta': 0.9999, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.05, 'weight_decay': 0.0} {'loss': 0.0340493261028314, 'accuracy': 0.5387037447027044, 'recall': 0.7549001924001923, 'precision': 0.01604151265243189, 'f1': 0.031222786060261548}
2023-07-03_08:27:29: {'batch_size': 512, 'beta': 0.9999, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.06, 'weight_decay': 0.0} {'loss': 0.034048597119787395, 'accuracy': 0.5481049279001682, 'recall': 0.7759159099002849, 'precision': 0.01697824791915377, 'f1': 0.03295391349951832}
